model,variant,color,fuel_type,transmission,price,manufacture_date,sale_date,state,mileage,engine_capacity,battery_capacity,charging_time,seating_capacity,ground_clearance,boot_space
Tesla Model 3,Performance,Pearl White,Electric,Automatic,42589.92,2024-12-02,2025-02-14,New York,293.4,0,64.1,6.5,5,140.7,533
Tesla Roadster,Performance,Pearl White,Electric,Automatic,241762.55,2024-05-24,2024-08-17,Arizona,466.0,0,79.4,6.4,5,140.1,613
Tesla Model 3,Standard Range,Ultra Red,Electric,Automatic,47500.38,2025-11-29,2026-01-29,Colorado,314.6,0,78.3,8.6,5,156.6,587
Tesla Cybertruck,Performance,Deep Blue Metallic,Electric,Automatic,76634.89,2025-06-11,2025-06-23,Florida,264.9,0,84.1,8.0,5,154.5,520
Tesla Model X,Standard Range,Deep Blue Metallic,Electric,Automatic,87961.68,2026-01-17,2026-01-19,New York,336.0,0,62.8,8.2,7,159.2,829
Tesla Roadster,Standard Range,Pearl White,Electric,Automatic,208211.48,2025-12-17,2026-02-26,Nevada,402.8,0,83.9,5.0,5,157.2,434
Tesla Roadster,Performance,Ultra Red,Electric,Automatic,204730.17,2026-02-07,2026-03-20,Florida,493.2,0,74.5,2.5,5,161.4,476
Tesla Model Y,Plaid,Ultra Red,Electric,Automatic,62324.45,2025-07-01,2025-09-25,Connecticut,294.5,0,92.6,11.0,7,158.7,496
Tesla Model X,Performance,Pearl White,Electric,Automatic,103129.51,2025-12-13,2026-01-15,Connecticut,330.2,0,87.1,6.4,7,169.8,890
Tesla Model 3,Performance,Ultra Red,Electric,Automatic,40926.37,2025-01-09,2025-03-01,Colorado,313.8,0,64.4,2.5,5,165.9,446
Tesla Model Y,Plaid,Deep Blue Metallic,Electric,Automatic,52495.77,2026-03-08,2026-03-31,California,274.2,0,62.9,3.2,7,143.1,541
Tesla Model 3,Standard Range,Stealth Grey,Electric,Automatic,50173.74,2026-03-22,2026-04-16,New Jersey,328.4,0,62.8,4.8,5,154.1,606
Tesla Model Y,Standard Range,Ultra Red,Electric,Automatic,69711.44,2026-03-20,2026-03-22,Florida,300.1,0,97.1,7.7,7,160.0,525
Tesla Model S,Performance,Solid Black,Electric,Automatic,93197.41,2025-06-29,2025-07-10,Maryland,369.4,0,84.6,4.0,5,147.3,590
Tesla Model X,Performance,Stealth Grey,Electric,Automatic,112230.96,2026-01-12,2026-02-06,Arizona,346.2,0,69.6,10.3,7,155.9,442
Tesla Model Y,Long Range,Stealth Grey,Electric,Automatic,69104.08,2024-06-24,2024-06-30,Florida,300.4,0,83.8,0.9,7,166.1,812
Tesla Model X,Plaid,Pearl White,Electric,Automatic,104234.26,2025-08-11,2025-09-26,Virginia,339.9,0,60.1,9.8,7,160.6,529
Tesla Model S,Performance,Red Multi-Coat,Electric,Automatic,124727.44,2025-10-20,2026-01-14,New York,355.2,0,84.9,10.4,5,159.6,481
Tesla Cybertruck,Performance,Stealth Grey,Electric,Automatic,57920.02,2025-05-01,2025-05-06,Virginia,476.3,0,91.1,7.9,5,146.7,455
Tesla Roadster,Plaid,Midnight Silver Metallic,Electric,Automatic,220174.69,2025-08-29,2025-11-06,Oregon,614.6,0,99.8,5.2,5,158.7,626
Tesla Model 3,Plaid,Stealth Grey,Electric,Automatic,44912.1,2024-06-22,2024-06-25,Florida,309.7,0,64.6,2.1,5,142.4,590
Tesla Model Y,Plaid,Deep Blue Metallic,Electric,Automatic,52009.52,2025-07-27,2025-07-29,New Jersey,311.7,0,67.6,7.2,7,169.7,804
Tesla Model S,Plaid,Pearl White,Electric,Automatic,83986.33,2024-05-20,2024-07-17,Colorado,376.0,0,74.0,6.0,5,140.3,443
Tesla Roadster,Plaid,Solid Black,Electric,Automatic,221385.7,2025-03-24,2025-04-19,New York,616.4,0,93.8,4.8,5,156.0,522
Tesla Model S,Performance,Red Multi-Coat,Electric,Automatic,107170.77,2024-10-04,2024-12-19,New Jersey,363.4,0,69.3,1.8,5,169.9,505
Tesla Model X,Plaid,Red Multi-Coat,Electric,Automatic,131682.88,2026-03-04,2026-05-05,Washington,323.2,0,81.3,7.8,7,152.9,605
Tesla Model X,Standard Range,Pearl White,Electric,Automatic,101218.2,2025-02-11,2025-03-21,Massachusetts,306.1,0,60.3,11.8,7,148.4,861
Tesla Model S,Performance,Red Multi-Coat,Electric,Automatic,102753.35,2024-04-05,2024-05-13,Florida,337.3,0,94.4,8.6,5,142.1,497
Tesla Model S,Standard Range,Ultra Red,Electric,Automatic,112826.64,2024-04-15,2024-06-17,Colorado,323.3,0,64.4,10.9,5,159.7,453
Tesla Model X,Plaid,Deep Blue Metallic,Electric,Automatic,128436.73,2025-06-18,2025-08-28,Oregon,339.8,0,61.7,1.7,7,142.6,489
Tesla Model X,Plaid,Deep Blue Metallic,Electric,Automatic,125699.23,2025-03-10,2025-05-20,Washington,310.0,0,82.1,2.8,7,165.9,796
Tesla Model Y,Plaid,Solid Black,Electric,Automatic,58819.21,2025-11-27,2026-01-23,New York,310.4,0,80.6,4.4,7,156.0,611
Tesla Roadster,Plaid,Pearl White,Electric,Automatic,238066.66,2026-02-10,2026-04-01,Oregon,454.7,0,65.0,5.1,5,156.9,464
Tesla Model Y,Plaid,Deep Blue Metallic,Electric,Automatic,57846.2,2024-11-28,2024-12-09,Colorado,314.4,0,83.5,1.8,7,152.4,749
Tesla Model X,Plaid,Stealth Grey,Electric,Automatic,92904.11,2026-03-09,2026-03-21,Florida,310.3,0,98.2,7.5,7,151.0,494
Tesla Model S,Plaid,Pearl White,Electric,Automatic,77813.88,2024-11-19,2024-12-02,Maryland,350.2,0,92.5,1.5,5,145.7,562
Tesla Roadster,Long Range,Deep Blue Metallic,Electric,Automatic,211545.65,2025-09-15,2025-10-26,New York,551.8,0,71.8,11.3,5,161.7,636
Tesla Roadster,Long Range,Deep Blue Metallic,Electric,Automatic,223257.54,2026-02-04,2026-05-02,California,583.2,0,97.5,8.3,5,155.8,647
Tesla Model 3,Long Range,Deep Blue Metallic,Electric,Automatic,53647.25,2025-11-18,2026-01-16,Texas,309.5,0,86.1,2.9,5,157.3,490
Tesla Roadster,Long Range,Midnight Silver Metallic,Electric,Automatic,215145.57,2025-03-13,2025-03-21,Arizona,513.2,0,96.3,10.0,5,142.2,638
Tesla Roadster,Performance,Deep Blue Metallic,Electric,Automatic,212992.48,2024-06-16,2024-08-15,Maryland,407.2,0,80.4,9.4,5,147.1,593
Tesla Model 3,Standard Range,Deep Blue Metallic,Electric,Automatic,49188.66,2025-11-24,2026-02-07,Washington,286.7,0,60.0,6.3,5,143.8,613
Tesla Cybertruck,Plaid,Midnight Silver Metallic,Electric,Automatic,66433.67,2026-03-20,2026-05-20,Virginia,379.1,0,81.9,4.3,5,149.1,558
